Unit;kg CO2 eq;m3;
apple;0.341390641267303;0.00831122252029148;apple
asparagus;0.977592837513287;0.0112452077178203;asparagus
aubergine;4.18262440257071;0.0214143862757225;aubergine
avocado;0.747924838703625;0.437697816031494;avocado
banana;0.266180659451762;0.063790185117295;banana
barley;0.659939467657089;0.171726266940542;barley
beef;11.905685612785;0.0812530915709447;beef
beef steak;2.33495208275236;0.01361544823413;beef steak
bell pepper;0.475173939271736;0.0191024246960642;bell pepper
broccoli;2.02857382033171;0.0684454080883359;broccoli
broil;6.92103965274049;0.0429775380997318;broil
butter;3.03036339464527;0.0189481035589119;butter
buttercream;0.383755622478433;0.00496465728353585;buttercream
cabbage;0.456015310163923;0.0051658917537023;cabbage
carrot;0.430302167380677;0.014969005122368;carrot
cauliflower;0.523364427810843;0.0048809039472534;cauliflower
celery;6.19315122346049;0.0413261859349222;celery
cheese;0.220311059280994;0.0752542261124795;cheese
citrus;0.322164142566259;0.312572154791072;citrus
coconut;11.5581039351268;0.120033904695726;coconut
corned beef;2.45319863925453;0.0166876343003402;corned beef
cream;3.07343739481475;0.0146159199182979;cream
cucumber;2.71982208073205;0.0765416540420479;cucumber
duck;3.20939788502653;0.197091702914851;duck
egg;1.6436414272484;0.0739238471812937;egg
fat hen;4.88703159964656;0.109744054199945;fat hen
fava beans;0.77008413221487;-0.00047770592029664;fava beans
fennel;0.444974173965432;0.0292081379681047;fennel
frozen yogurt;1.82089430070383;0.012065601406444;frozen yogurt
grape;0.276783830378271;0.101643462413776;grape
iceberg lettuce;0.258428322084074;0.00905614603985114;iceberg lettuce
kiwi fruit;0.508590151799452;0.0556393146661581;kiwi fruit
lamb;17.4749803804047;0.0427459210301171;lamb
lamb's quarters;11.5581039351268;0.120033904695726;lamb's quarters
lettuce;3.26958911918978;0.00809299708647325;lettuce
maize;0.597019797388965;0.170252025535594;maize
melon;0.230934765377133;0.0314698966438114;melon
milk;1.57064077296925;0.0111792288358907;milk
oil;4.15745282345928;0.0313436116059992;oil
olive oil;4.38195774853559;0.164180907060507;olive oil
onion;0.516597574526997;0.00428031685109667;onion
papaya;0.215551898029676;0.0379954515732872;papaya
pear;0.388113890328841;0.0117366120655306;pear
pineapple;0.164232568234552;0.0104729703417196;pineapple
pork;3.39695214504629;0.122200973415217;pork
potato;0.305785745238759;0.078070227834758;potato
radish;7.15165550777695;0.00324474740010631;radish
rice;2.00475355017555;0.663994662215166;rice
roast beef;11.5581039351268;0.120033904695726;roast beef
rye;0.806494235671235;0.108180544403229;rye
sea bass;4.42125913701829;0.0141841206334494;sea bass
spinach;0.210362581430753;0.0052019746305219;spinach
strawberry;0.198273632065834;0.00456883014472092;strawberry
tofu;0.552717137665305;-0.317255867829658;tofu
tomato;1.50046346113205;-0.00217667406882491;tomato
trout;2.94418929685021;2.96215883038047;trout
turkey;2.98402040134832;0.043869654213515;turkey
wheat;0.867084792188807;0.243905170530582;wheat
wheat bread;0.867084792188807;0.243905170530582;wheat bread
wheat flake;0.867084792188807;0.243905170530582;wheat flake
whey;1.02441682226232;0.00629098832358112;whey
yogurt;1.82089430070383;0.012065601406444;yogurt
zucchini;0.291675913004925;0.00980222476149118;zucchini
acorn squash;0;0;
ahipa;0;0;
ale;0;0;
alfalfa sprouts;0;0;
allspice;0;0;
almond;0;0;
amaranth;0;0;
anchovy;0;0;
angel-hair pasta;0;0;
anise;0;0;
aonori;0;0;
aperitif;0;0;
apple sauce;0;0;
apricot pits;0;0;
arracacha;0;0;
artichoke;0;0;
arugula;0;0;
aspic;0;0;
azuki bean;0;0;
baby back ribs;0;0;
bacon;0;0;
bagel;0;0;
baguette;0;0;
baked beans;0;0;
baklava;0;0;
balsamic;0;0;
bamboo shoots;0;0;
barbecue sauce;0;0;
basil;0;0;
bass;0;0;
batter;0;0;
bay leaf;0;0;
beancurd;0;0;
beans;0;0;
bechamel;0;0;
beer;0;0;
beet;0;0;
beet root;0;0;
bilberry;0;0;
bird;0;0;
biscuits;0;0;
bitter gourd;0;0;
bitter melon;0;0;
black beans;0;0;
black coffee;0;0;
black currant;0;0;
black tea;0;0;
blackberry;0;0;
blancmange;0;0;
blood orange;0;0;
blood sausage;0;0;
blue cheese;0;0;
blueberry;0;0;
blueberry muffin;0;0;
bok choy;0;0;
bonbon;0;0;
bonbons;0;0;
borage;0;0;
boysenberry;0;0;
bran;0;0;
brandy;0;0;
bratwurst;0;0;
bread;0;0;
bread rolls;0;0;
breadcrumb;0;0;
breadfruit;0;0;
breadstick;0;0;
bream;0;0;
brie;0;0;
brinjal;0;0;
brioche;0;0;
brisket;0;0;
brittle;0;0;
broad beans;0;0;
broccolini;0;0;
broth;0;0;
brown bread;0;0;
brown rice;0;0;
brownie;0;0;
brulee;0;0;
bruschetta;0;0;
brussels sprout;0;0;
buckwheat;0;0;
bun;0;0;
burdock;0;0;
cake;0;0;
cake mix;0;0;
calamari;0;0;
camembert;0;0;
canape;0;0;
cannoli;0;0;
cantaloupe;0;0;
caper;0;0;
cappuccino;0;0;
caraway;0;0;
cardamom;0;0;
cardoon;0;0;
carp;0;0;
carpaccio;0;0;
cashew;0;0;
cassava;0;0;
caviar;0;0;
cayenne;0;0;
cayenne pepper;0;0;
celeriac;0;0;
celtuce;0;0;
cereal;0;0;
cereal bar;0;0;
ceviche;0;0;
champagne;0;0;
chard;0;0;
chaya;0;0;
chayote;0;0;
cheddar;0;0;
cheesecake;0;0;
cherimoya;0;0;
cherry;0;0;
cherry tomato;0;0;
chestnut;0;0;
chevre;0;0;
chicken;0;0;
chicken breast;0;0;
chicken leg;0;0;
chicken wings;0;0;
chickpeas;0;0;
chickweed;0;0;
chicory;0;0;
chili;0;0;
chili pepper;0;0;
chili powder;0;0;
chili sauce;0;0;
chinese artichoke;0;0;
chips;0;0;
chives;0;0;
chocolate;0;0;
chocolate cookie;0;0;
chorizo;0;0;
chowder;0;0;
chutney;0;0;
ciabatta;0;0;
cider;0;0;
cilantro;0;0;
cinnamon;0;0;
citron;0;0;
clam;0;0;
clementine;0;0;
cloudberry;0;0;
cloves;0;0;
cobbler;0;0;
cockle;0;0;
cocoa;0;0;
coffee;0;0;
cognac;0;0;
coke;0;0;
coleslaw;0;0;
collards;0;0;
collation;0;0;
common bean;0;0;
